"date","code","delta","value"
2003-07-02,RUB,39939.25,70639.12999999998
2003-07-03,RUB,-710,69929.12999999998
2003-07-05,RUB,-27887.8,42041.32999999997
2003-07-06,RUB,-1750,40291.32999999997
2003-07-09,RUB,-265,40026.32999999997
2003-07-10,RUB,-235,39791.32999999997
2003-07-13,RUB,-500,39291.32999999997
2003-07-14,RUB,-2140,37151.32999999997
2003-07-16,RUB,-300,36851.32999999997
2003-07-18,RUB,-560,36291.32999999997
2003-07-22,RUB,-500,35791.32999999997
2003-07-23,RUB,-1140,34651.32999999997
2003-07-24,RUB,-300,34351.32999999997
2003-07-25,RUB,-5160,29191.329999999973
2003-08-02,RUB,-1300,27891.329999999973
2003-08-24,RUB,46079.25,73970.57999999997
2003-08-26,RUB,-310,73660.57999999997
2003-08-27,RUB,-270,73390.57999999997
2003-08-28,RUB,3480,76870.57999999997
2003-08-29,RUB,-1550,75320.57999999997
2003-08-30,RUB,-51132,24188.579999999973
2003-08-31,RUB,-2268,21920.579999999973
2003-09-03,RUB,40944.17,62864.74999999997
2003-09-06,RUB,-3160,59704.74999999997
2003-09-08,RUB,-1340,58364.74999999997
2003-09-11,RUB,-500,57864.74999999997
2003-09-12,RUB,-1500,56364.74999999997
2003-09-14,RUB,-3000,53364.74999999997
2003-09-18,RUB,-670,52694.74999999997
2003-09-20,RUB,-1510,51184.74999999997
2003-09-21,RUB,-820,50364.74999999997
2003-09-22,RUB,-2000,48364.74999999997
2003-09-25,RUB,-2500,45864.74999999997
2003-09-28,EUR,160,160
2003-09-28,RUB,1140,47004.74999999997
2003-10-01,RUB,-740,46264.74999999997
2003-10-04,RUB,-20400,25864.74999999997
2003-10-08,RUB,-3000,22864.74999999997
2003-10-12,RUB,-680,22184.74999999997
2003-10-13,RUB,35921.63,58106.37999999997
2003-10-14,RUB,-8320,49786.37999999997
2003-10-17,RUB,-400,49386.37999999997
2003-10-18,RUB,-1130,48256.37999999997
2003-10-21,RUB,-170,48086.37999999997
2003-10-22,RUB,-900,47186.37999999997
2003-10-24,RUB,600,47786.37999999997
2003-10-25,RUB,-800,46986.37999999997
2003-10-29,RUB,-1100,45886.37999999997
2003-10-31,RUB,-200,45686.37999999997
2003-11-01,RUB,-750,44936.37999999997
2003-11-02,RUB,-850,44086.37999999997
2003-11-05,RUB,35702.59,79788.96999999997
2003-11-06,RUB,-1050,78738.96999999997
2003-11-07,RUB,-3400,75338.96999999997
2003-11-09,RUB,-1040,74298.96999999997
2003-11-11,RUB,-70,74228.96999999997
2003-11-14,RUB,-1050,73178.96999999997
2003-11-16,RUB,-1340,71838.96999999997
2003-11-17,RUB,-1500,70338.96999999997
2003-11-18,RUB,-1060,69278.96999999997
2003-11-19,RUB,-750,68528.96999999997
2003-11-21,RUB,-1630,66898.96999999997
2003-11-22,RUB,-1310,65588.96999999997
2003-11-23,RUB,-420,65168.96999999997
2003-11-25,RUB,-1330,63838.96999999997
2003-11-29,RUB,-1650,62188.96999999997
2003-11-30,RUB,-2750,59438.96999999997
2003-12-01,RUB,-100,59338.96999999997
2003-12-02,RUB,-1500,57838.96999999997
2003-12-03,RUB,35697.92,93536.88999999997
2003-12-05,RUB,-1800,91736.88999999997
2003-12-07,RUB,-1000,90736.88999999997
2003-12-10,RUB,-640,90096.88999999997
2003-12-13,RUB,-4160,85936.88999999997
2003-12-14,RUB,-1040,84896.88999999997
2003-12-18,RUB,2800,87696.88999999997
2003-12-19,RUB,-4510,83186.88999999997
2003-12-20,RUB,-3500,79686.88999999997
2003-12-23,RUB,-2210,77476.88999999997
2003-12-24,RUB,-160,77316.88999999997
2003-12-26,RUB,38193,115509.88999999997
2003-12-27,RUB,-740,114769.88999999997
2004-01-04,RUB,7340,122109.88999999997
2004-01-06,RUB,-750,121359.88999999997
2004-01-07,RUB,-880,120479.88999999997
2004-01-09,RUB,-350,120129.88999999997
2004-01-14,RUB,-1600,118529.88999999997
2004-01-15,RUB,-630,117899.88999999997
2004-01-18,RUB,-870,117029.88999999997
2004-01-20,RUB,-750,116279.88999999997
2004-01-21,RUB,-1450,114829.88999999997
2004-01-24,RUB,-2500,112329.88999999997
2004-01-25,RUB,-2874,109455.88999999997
2004-01-28,RUB,-1655,107800.88999999997
2004-02-01,RUB,-2441,105359.88999999997
2004-02-04,RUB,37040.54,142400.42999999996
2004-02-08,RUB,-3090,139310.42999999996
2004-02-09,RUB,-600,138710.42999999996
2004-02-13,RUB,-1100,137610.42999999996
2004-02-15,RUB,-2520,135090.42999999996
2004-02-19,RUB,-980,134110.42999999996
2004-02-20,RUB,-1050,133060.42999999996
2004-02-21,RUB,-80,132980.42999999996
2004-02-23,RUB,-1918,131062.42999999996
2004-02-25,RUB,-352,130710.42999999996
2004-02-27,RUB,-950,129760.42999999996
2004-02-28,RUB,-2290,127470.42999999996
2004-02-29,RUB,-3080,124390.42999999996
2004-03-01,RUB,-15130,109260.42999999996
2004-03-06,RUB,-1030,108230.42999999996
2004-03-09,RUB,37693,145923.42999999996
2004-03-13,RUB,-1290,144633.42999999996
2004-03-14,RUB,-872,143761.42999999996
2004-03-15,RUB,-67,143694.42999999996
2004-03-16,RUB,-500,143194.42999999996
2004-03-18,RUB,-321,142873.42999999996
2004-03-19,RUB,-200,142673.42999999996
2004-03-20,RUB,-6660,136013.42999999996
2004-03-21,RUB,-800,135213.42999999996
2004-03-22,RUB,-600,134613.42999999996
2004-03-23,RUB,-1500,133113.42999999996
2004-03-27,RUB,-300,132813.42999999996
2004-03-28,RUB,-1340,131473.42999999996
2004-03-29,RUB,-2430,129043.42999999996
2004-04-01,RUB,-1180,127863.42999999996
2004-04-02,RUB,-210,127653.42999999996
2004-04-03,RUB,34488.77,162142.19999999995
2004-04-04,RUB,-1553,160589.19999999995
2004-04-10,RUB,-2970,157619.19999999995
2004-04-11,RUB,-592,157027.19999999995
2004-04-13,RUB,-1100,155927.19999999995
2004-04-14,RUB,-1300,154627.19999999995
2004-04-17,RUB,-11315,143312.19999999995
2004-04-18,RUB,-900,142412.19999999995
2004-04-22,RUB,-5440,136972.19999999995
2004-04-23,RUB,-1950,135022.19999999995
2004-04-25,RUB,-450,134572.19999999995
2004-04-26,RUB,-1160,133412.19999999995
2004-04-29,RUB,-470,132942.19999999995
2004-04-30,RUB,-900,132042.19999999995
2004-05-05,RUB,-3956.75,128085.44999999995
2004-05-09,RUB,35573,163658.44999999995
2004-05-11,RUB,-500,163158.44999999995
2004-05-13,RUB,-630,162528.44999999995
2004-05-15,RUB,-420,162108.44999999995
2004-05-16,RUB,-15354.5,146753.94999999995
2004-05-18,RUB,-715,146038.94999999995
2004-05-19,RUB,-660,145378.94999999995
2004-05-21,RUB,-1330,144048.94999999995
2004-05-23,RUB,-8750,135298.94999999995
2004-05-25,RUB,-1040,134258.94999999995
2004-05-27,RUB,-1800,132458.94999999995
2004-05-28,RUB,-2360,130098.94999999995
2004-05-29,RUB,-2600,127498.94999999995
2004-05-30,RUB,-3224.2,124274.74999999996
2004-06-02,RUB,-580,123694.74999999996
2004-06-04,RUB,35573,159267.74999999994
2004-06-05,RUB,-2417.45,156850.29999999993
2004-06-06,RUB,-800,156050.29999999993
2004-06-09,RUB,-200,155850.29999999993
2004-06-11,RUB,-4210,151640.29999999993
2004-06-13,RUB,-780,150860.29999999993
2004-06-14,RUB,-1980,148880.29999999993
2004-06-17,RUB,-10500,138380.29999999993
2004-06-21,RUB,-21062.61,117317.68999999993
2004-06-22,RUB,-2170,115147.68999999993
2004-06-26,RUB,-26245.08,88902.60999999993
2004-06-27,RUB,-360,88542.60999999993
2004-07-02,RUB,39361,127903.60999999993
2004-07-03,RUB,-13933.27,113970.33999999992
2004-07-04,RUB,-2020,111950.33999999992
2004-07-05,RUB,-30,111920.33999999992
2004-07-06,RUB,-310,111610.33999999992
