"date","code","delta","value"
2007-08-26,RUB,-796,18345.059999999896
2007-08-27,RUB,-664,17681.059999999896
2007-08-28,RUB,-6180,11501.059999999896
2007-08-29,RUB,-490,11011.059999999896
2007-08-30,RUB,-2355,8656.059999999896
2007-08-31,RUB,50237,58893.059999999896
2007-09-01,USD,255,363.98999999999995
2007-09-01,RUB,-4870,54023.059999999896
2007-09-02,USD,60,423.98999999999995
2007-09-02,RUB,-6465,47558.059999999896
2007-09-03,RUB,8018,55576.059999999896
2007-09-04,USD,-130,293.98999999999995
2007-09-04,RUB,-130,55446.059999999896
2007-09-05,USD,-109,184.98999999999995
2007-09-05,RUB,-340,55106.059999999896
2007-09-06,USD,-20,164.98999999999995
2007-09-06,RUB,-460,54646.059999999896
2007-09-07,USD,-15,149.98999999999995
2007-09-07,RUB,-3410,51236.059999999896
2007-09-08,USD,-41,108.98999999999995
2007-09-08,RUB,-310,50926.059999999896
2007-09-09,RUB,-2160,48766.059999999896
2007-09-10,RUB,-1415,47351.059999999896
2007-09-11,USD,468.35,577.3399999999999
2007-09-11,RUB,-14040,33311.059999999896
2007-09-12,RUB,-2110,31201.059999999896
2007-09-13,RUB,-350,30851.059999999896
2007-09-14,RUB,-830,30021.059999999896
2007-09-15,USD,-454.32,123.01999999999992
2007-09-15,RUB,-3980,26041.059999999896
2007-09-16,RUB,-1150,24891.059999999896
2007-09-17,RUB,-1121,23770.059999999896
2007-09-18,RUB,-1249,22521.059999999896
2007-09-19,RUB,-811,21710.059999999896
2007-09-20,RUB,-840,20870.059999999896
2007-09-21,RUB,12883,33753.059999999896
2007-09-22,RUB,-5021,28732.059999999896
2007-09-23,RUB,-678,28054.059999999896
2007-09-24,RUB,517,28571.059999999896
2007-09-25,RUB,-6010,22561.059999999896
2007-09-26,RUB,-200,22361.059999999896
2007-09-27,RUB,-575,21786.059999999896
2007-09-28,RUB,-4094,17692.059999999896
2007-09-29,RUB,-317,17375.059999999896
2007-09-30,RUB,-775,16600.059999999896
2007-10-01,RUB,54241,70841.0599999999
2007-10-02,RUB,-1510,69331.0599999999
2007-10-03,RUB,-1070,68261.0599999999
2007-10-04,RUB,-10070,58191.059999999896
2007-10-05,RUB,-1780,56411.059999999896
2007-10-06,RUB,-4310,52101.059999999896
2007-10-07,RUB,-2576,49525.059999999896
2007-10-08,USD,479.39,602.4099999999999
2007-10-08,RUB,-14624,34901.059999999896
2007-10-09,RUB,-3350,31551.059999999896
2007-10-10,RUB,-46.49,31504.569999999894
2007-10-11,RUB,-1429,30075.569999999894
2007-10-12,RUB,-1827,28248.569999999894
2007-10-13,RUB,-2678.75,25569.819999999894
2007-10-14,RUB,-520,25049.819999999894
2007-10-15,USD,-454.32,148.08999999999986
2007-10-16,RUB,-760,24289.819999999894
2007-10-18,RUB,-480,23809.819999999894
2007-10-19,RUB,-2368,21441.819999999894
2007-10-20,RUB,-2615,18826.819999999894
2007-10-21,RUB,-3182,15644.819999999894
2007-10-22,RUB,-450,15194.819999999894
2007-10-23,RUB,-450,14744.819999999894
2007-10-24,RUB,-155,14589.819999999894
2007-10-25,RUB,-14,14575.819999999894
2007-10-26,RUB,-1758.25,12817.569999999894
2007-10-27,RUB,-1443,11374.569999999894
2007-10-28,RUB,-1871,9503.569999999894
2007-10-29,RUB,-180,9323.569999999894
2007-10-30,RUB,-1739,7584.569999999894
2007-10-31,RUB,-120,7464.569999999894
2007-11-01,RUB,68720,76184.56999999989
2007-11-02,RUB,-6001,70183.56999999989
2007-11-03,RUB,-6731,63452.56999999989
2007-11-04,USD,485.51,633.5999999999999
2007-11-04,RUB,-24593.94,38858.62999999989
2007-11-05,RUB,-705,38153.62999999989
2007-11-06,RUB,-354,37799.62999999989
2007-11-07,RUB,-1360,36439.62999999989
2007-11-08,RUB,-174,36265.62999999989
2007-11-09,RUB,-664,35601.62999999989
2007-11-10,RUB,-4344,31257.62999999989
2007-11-11,RUB,5900,37157.62999999989
2007-11-12,RUB,-30,37127.62999999989
2007-11-13,RUB,-4500,32627.62999999989
2007-11-14,RUB,-836,31791.62999999989
2007-11-15,USD,-454.32,179.27999999999992
2007-11-15,RUB,-939,30852.62999999989
2007-11-17,RUB,-7917,22935.62999999989
2007-11-18,RUB,-1539,21396.62999999989
2007-11-19,RUB,-1581,19815.62999999989
2007-11-20,RUB,-31,19784.62999999989
2007-11-21,RUB,-380,19404.62999999989
2007-11-22,RUB,-1435,17969.62999999989
2007-11-23,RUB,-1103,16866.62999999989
2007-11-24,RUB,-178,16688.62999999989
2007-11-25,RUB,-3003,13685.629999999888
2007-11-26,RUB,-1491.04,12194.589999999887
2007-11-27,RUB,-338,11856.589999999887
2007-11-28,RUB,-866,10990.589999999887
2007-11-29,RUB,53210,64200.58999999989
2007-11-30,RUB,-3076,61124.58999999989
2007-12-01,RUB,-2443,58681.58999999989
2007-12-02,RUB,-5490,53191.58999999989
2007-12-03,RUB,-427,52764.58999999989
2007-12-04,RUB,-2350,50414.58999999989
2007-12-06,RUB,16150,66564.58999999988
2007-12-07,RUB,-2150,64414.58999999988
2007-12-08,RUB,-3089,61325.58999999988
2007-12-09,RUB,-7135,54190.58999999988
2007-12-11,RUB,-676,53514.58999999988
2007-12-12,RUB,-410,53104.58999999988
2007-12-13,RUB,-1537,51567.58999999988
2007-12-14,USD,406.51,585.79
2007-12-14,RUB,-10503,41064.58999999988
2007-12-15,USD,-454.32,131.46999999999997
2007-12-15,RUB,-950,40114.58999999988
2007-12-16,RUB,-1543,38571.58999999988
2007-12-17,RUB,-658,37913.58999999988
2007-12-18,RUB,15941,53854.58999999988
2007-12-20,RUB,-6630,47224.58999999988
2007-12-21,RUB,-280,46944.58999999988
2007-12-22,RUB,-440,46504.58999999988
2007-12-23,RUB,-5607,40897.58999999988
2007-12-24,RUB,-483,40414.58999999988
2007-12-25,RUB,-500,39914.58999999988
2007-12-26,RUB,87410,127324.58999999988
2007-12-27,RUB,-46620,80704.58999999988
2007-12-28,RUB,-756,79948.58999999988
2007-12-29,RUB,-9751,70197.58999999988
2007-12-30,RUB,-2247,67950.58999999988
2007-12-31,RUB,-2371,65579.58999999988
2008-01-03,RUB,18080,83659.58999999988
2008-01-04,RUB,-1666,81993.58999999988
2008-01-05,RUB,-1684,80309.58999999988
2008-01-06,RUB,-3175,77134.58999999988
2008-01-07,RUB,-5194,71940.58999999988
2008-01-08,RUB,-881,71059.58999999988
2008-01-10,RUB,-1179.08,69880.50999999988
2008-01-12,RUB,-10800,59080.50999999988
2008-01-13,USD,491.5,622.97
2008-01-13,RUB,-22568,36512.50999999988
2008-01-14,RUB,-2532,33980.50999999988
2008-01-15,USD,-454.32,168.65000000000003
2008-01-17,RUB,-270,33710.50999999988
2008-01-18,RUB,-1130,32580.50999999988
2008-01-19,RUB,107.27,32687.77999999988
2008-01-20,RUB,-1018,31669.77999999988
2008-01-21,RUB,-11918,19751.77999999988
2008-01-22,RUB,-680,19071.77999999988
2008-01-23,RUB,4120,23191.77999999988
2008-01-24,RUB,-2495,20696.77999999988
2008-01-25,RUB,-2200,18496.77999999988
2008-01-26,RUB,-35,18461.77999999988
2008-01-27,RUB,-2027,16434.77999999988
2008-01-28,RUB,-1910,14524.779999999879
2008-01-30,RUB,-420,14104.779999999879
2008-01-31,RUB,-1140,12964.779999999879
2008-02-01,RUB,-470,12494.779999999879
2008-02-03,RUB,2988,15482.779999999879
2008-02-04,RUB,60959,76441.77999999988
2008-02-05,RUB,-1910,74531.77999999988
2008-02-06,RUB,-3370,71161.77999999988
2008-02-08,RUB,-370,70791.77999999988
2008-02-09,RUB,-4748,66043.77999999988
2008-02-10,RUB,-1531,64512.77999999988
2008-02-11,RUB,-2000,62512.77999999988
2008-02-12,RUB,-825,61687.77999999988
2008-02-13,RUB,-11025,50662.77999999988
2008-02-14,USD,363.63,532.28
2008-02-14,RUB,-11395,39267.77999999988
2008-02-15,USD,-454.32,77.95999999999998
2008-02-15,RUB,-200,39067.77999999988
2008-02-16,RUB,-704,38363.77999999988
2008-02-17,RUB,-2762,35601.77999999988
2008-02-18,RUB,5206,40807.77999999988
2008-02-19,RUB,7350,48157.77999999988
2008-02-20,RUB,-350,47807.77999999988
2008-02-21,RUB,-2490,45317.77999999988
2008-02-22,RUB,-1040,44277.77999999988
2008-02-23,RUB,-35390,8887.779999999882
2008-02-24,RUB,-500,8387.779999999882
2008-02-25,RUB,-1508,6879.779999999882
2008-02-26,RUB,-200,6679.779999999882
2008-02-28,RUB,-620,6059.779999999882
2008-02-29,RUB,139277.59,145337.36999999988
2008-03-01,RUB,-1990,143347.36999999988
2008-03-02,RUB,-1357,141990.36999999988
2008-03-03,RUB,-1447,140543.36999999988
2008-03-04,RUB,8150,148693.36999999988
2008-03-05,RUB,-7476,141217.36999999988
2008-03-06,RUB,-1246,139971.36999999988
2008-03-07,RUB,-612,139359.36999999988
2008-03-08,USD,461.23,539.19
2008-03-08,RUB,-18788,120571.36999999988
2008-03-09,RUB,-6421,114150.36999999988
2008-03-10,RUB,-280,113870.36999999988
2008-03-11,RUB,-946,112924.36999999988
2008-03-13,RUB,-1925,110999.36999999988
2008-03-14,RUB,-72,110927.36999999988
2008-03-15,USD,-454.32,84.87000000000006
2008-03-15,RUB,-4740,106187.36999999988
2008-03-16,RUB,-4786,101401.36999999988
2008-03-17,RUB,-420,100981.36999999988
2008-03-18,RUB,4809.57,105790.93999999989
2008-03-19,RUB,-8190,97600.93999999989
2008-03-20,RUB,-417.15,97183.78999999989
2008-03-21,RUB,-14810,82373.78999999989
2008-03-22,RUB,-5870,76503.78999999989
2008-03-23,RUB,-1485,75018.78999999989
2008-03-24,RUB,295,75313.78999999989
2008-03-25,RUB,-110,75203.78999999989
2008-03-26,RUB,30,75233.78999999989
2008-03-27,RUB,-1290,73943.78999999989
2008-03-28,RUB,-2150,71793.78999999989
2008-03-29,RUB,-810,70983.78999999989
2008-03-30,RUB,-5238.37,65745.4199999999
2008-03-31,RUB,-999,64746.4199999999
2008-04-01,RUB,93706,158452.4199999999
2008-04-02,RUB,-1360,157092.4199999999
2008-04-03,RUB,-450,156642.4199999999
2008-04-04,RUB,14542,171184.4199999999
2008-04-05,RUB,-12909,158275.4199999999
2008-04-06,RUB,-9904,148371.4199999999
2008-04-07,RUB,-1465,146906.4199999999
2008-04-08,RUB,-11660,135246.4199999999
2008-04-09,RUB,-1648,133598.4199999999
2008-04-10,RUB,-4105,129493.4199999999
2008-04-11,RUB,-610,128883.4199999999
2008-04-12,RUB,-26672.71,102210.7099999999
2008-04-13,RUB,-5389,96821.7099999999
2008-04-14,RUB,-3049.45,93772.25999999991
2008-04-15,USD,55.23,140.10000000000005
2008-04-15,RUB,-15484,78288.25999999991
2008-04-16,RUB,-1100,77188.25999999991
2008-04-17,RUB,-500,76688.25999999991
2008-04-18,RUB,6520,83208.25999999991
2008-04-19,RUB,-40,83168.25999999991
2008-04-20,RUB,-5194,77974.25999999991
2008-04-21,RUB,-835,77139.25999999991
2008-04-22,RUB,49,77188.25999999991
2008-04-23,RUB,-390,76798.25999999991
2008-04-24,RUB,-650,76148.25999999991
2008-04-25,RUB,-250,75898.25999999991
2008-04-26,RUB,-18500,57398.25999999991
2008-04-27,RUB,-2586,54812.25999999991
2008-04-28,RUB,-2170,52642.25999999991
2008-04-29,RUB,-746,51896.25999999991
2008-04-30,RUB,-1041,50855.25999999991
2008-05-02,RUB,4100,54955.25999999991
2008-05-03,RUB,-4537,50418.25999999991
2008-05-04,RUB,87385,137803.2599999999
2008-05-05,RUB,-4226,133577.2599999999
2008-05-06,RUB,-6042,127535.2599999999
2008-05-07,RUB,-4350,123185.2599999999
2008-05-08,RUB,-570,122615.2599999999
2008-05-09,RUB,-1370,121245.2599999999
2008-05-10,RUB,-3135,118110.2599999999
2008-05-11,RUB,-417,117693.2599999999
2008-05-12,RUB,-4550,113143.2599999999
2008-05-13,RUB,-920,112223.2599999999
2008-05-14,RUB,-300,111923.2599999999
2008-05-15,USD,46.72,186.82000000000005
2008-05-15,RUB,-12500,99423.2599999999
2008-05-16,RUB,7730,107153.2599999999
2008-05-17,RUB,-2115,105038.2599999999
2008-05-18,RUB,-3850,101188.2599999999
2008-05-19,RUB,850,102038.2599999999
2008-05-20,RUB,-400,101638.2599999999
2008-05-21,RUB,-300,101338.2599999999
2008-05-22,RUB,-1756,99582.2599999999
2008-05-23,RUB,-8366,91216.2599999999
2008-05-24,RUB,-2987,88229.2599999999
2008-05-25,RUB,-3525,84704.2599999999
2008-05-26,RUB,-1100,83604.2599999999
2008-05-29,RUB,-3240,80364.2599999999
2008-05-30,RUB,-14022,66342.2599999999
2008-05-31,RUB,-2489,63853.25999999989
2008-06-01,RUB,-4745,59108.25999999989
2008-06-02,RUB,4560,63668.25999999989
2008-06-03,RUB,-2513,61155.25999999989
2008-06-04,RUB,-951,60204.25999999989
2008-06-05,RUB,61159,121363.2599999999
2008-06-06,RUB,-1900,119463.2599999999
2008-06-07,RUB,-6220,113243.2599999999
2008-06-08,RUB,-18795.17,94448.0899999999
2008-06-09,RUB,-760,93688.0899999999
2008-06-10,RUB,-7350,86338.0899999999
2008-06-11,RUB,-1340,84998.0899999999
2008-06-12,RUB,-1542,83456.0899999999
2008-06-13,RUB,-1145,82311.0899999999
2008-06-14,USD,421.05,607.8700000000001
2008-06-14,RUB,5852,88163.0899999999
2008-06-15,USD,-454.32,153.55000000000013
2008-06-15,RUB,-456,87707.0899999999
2008-06-16,RUB,-1900,85807.0899999999
2008-06-17,RUB,-1280,84527.0899999999
2008-06-18,RUB,-1152.55,83374.53999999989
2008-06-19,RUB,-3000,80374.53999999989
2008-06-20,RUB,-789,79585.53999999989
2008-06-21,RUB,-5340,74245.53999999989
2008-06-22,RUB,-2663,71582.53999999989
2008-06-23,RUB,-827,70755.53999999989
2008-06-24,RUB,5410,76165.53999999989
2008-06-25,RUB,-220,75945.53999999989
2008-06-26,RUB,-15640.82,60304.71999999989
2008-06-27,RUB,20455,80759.71999999988
2008-06-28,RUB,-810,79949.71999999988
2008-06-29,RUB,-3233,76716.71999999988
2008-06-30,RUB,-2243,74473.71999999988
2008-07-01,RUB,-2649,71824.71999999988
2008-07-02,RUB,-1442.55,70382.16999999988
2008-07-03,RUB,-3750,66632.16999999988
2008-07-04,RUB,-242,66390.16999999988
2008-07-05,RUB,-5949,60441.16999999988
2008-07-06,RUB,-2991,57450.16999999988
2008-07-07,RUB,-1330,56120.16999999988
2008-07-08,RUB,12103,68223.16999999988
2008-07-09,RUB,-4264,63959.16999999988
2008-07-11,RUB,-1156,62803.16999999988
2008-07-12,RUB,-2063,60740.16999999988
2008-07-13,USD,383.79,537.3400000000001
2008-07-13,RUB,-10340,50400.16999999988
2008-07-14,RUB,-1473,48927.16999999988
2008-07-15,USD,-454.32,83.02000000000015
2008-07-15,RUB,-720,48207.16999999988
2008-07-16,RUB,-300,47907.16999999988
2008-07-17,EUR,1000,1160
2008-07-17,RUB,3373,51280.16999999988
2008-07-18,RUB,-605,50675.16999999988
2008-07-19,RUB,-3913,46762.16999999988
2008-07-20,RUB,-7989,38773.16999999988
2008-07-22,RUB,34000,72773.16999999988
2008-07-23,RUB,-800,71973.16999999988
2008-07-24,RUB,-677,71296.16999999988
2008-07-25,RUB,-1100,70196.16999999988
2008-07-26,RUB,-2816,67380.16999999988
2008-07-27,RUB,-2868.2,64511.969999999885
2008-07-28,RUB,-1364.69,63147.27999999988
2008-07-29,RUB,-500,62647.27999999988
2008-07-30,RUB,-187.2,62460.079999999885
2008-07-31,RUB,-114.11,62345.969999999885
2008-08-01,RUB,6440,68785.96999999988
2008-08-02,RUB,-1847.9,66938.06999999989
2008-08-03,RUB,-2250,64688.06999999989
2008-08-04,RUB,-2914,61774.06999999989
2008-08-05,RUB,22910.5,84684.56999999989
2008-08-07,RUB,-5241,79443.56999999989
2008-08-08,USD,454.32,537.3400000000001
2008-08-08,RUB,-12950,66493.56999999989
2008-08-09,RUB,-4687,61806.56999999989
2008-08-10,RUB,-823,60983.56999999989
2008-08-11,RUB,-1284,59699.56999999989
2008-08-12,RUB,84,59783.56999999989
2008-08-13,RUB,-540,59243.56999999989
2008-08-14,RUB,-2100,57143.56999999989
2008-08-15,USD,-454.32,83.02000000000015
2008-08-15,RUB,-3086,54057.56999999989
2008-08-16,RUB,-558,53499.56999999989
2008-08-17,RUB,-300,53199.56999999989
2008-08-18,RUB,-5234,47965.56999999989
2008-08-19,RUB,4228,52193.56999999989
2008-08-20,RUB,-442,51751.56999999989
2008-08-21,RUB,-1715,50036.56999999989
2008-08-22,RUB,-1900,48136.56999999989
2008-08-23,RUB,-3903,44233.56999999989
2008-08-24,RUB,-1439,42794.56999999989
2008-08-25,RUB,18483.59,61278.15999999989
2008-08-26,RUB,-1950,59328.15999999989
2008-08-27,RUB,-3470,55858.15999999989
2008-08-28,RUB,-270,55588.15999999989
2008-08-29,RUB,21959,77547.15999999989
2008-08-30,RUB,22057.64,99604.79999999989
2008-08-31,RUB,-3014.12,96590.67999999989
2008-09-01,RUB,-3315,93275.67999999989
2008-09-02,RUB,7508,100783.67999999989
2008-09-03,RUB,-3880,96903.67999999989
2008-09-04,RUB,-5582,91321.67999999989
2008-09-05,RUB,-5394,85927.67999999989
2008-09-06,RUB,-2404,83523.67999999989
2008-09-07,RUB,-2657,80866.67999999989
2008-09-08,RUB,-3602,77264.67999999989
2008-09-09,RUB,-1775,75489.67999999989
2008-09-10,USD,467.84,550.8600000000001
2008-09-10,RUB,-12000,63489.67999999989
2008-09-11,RUB,6500,69989.67999999989
2008-09-12,RUB,-8774,61215.67999999989
2008-09-13,RUB,-2580,58635.67999999989
2008-09-15,USD,-454.32,96.54000000000013
2008-09-15,RUB,-2584,56051.67999999989
2008-09-16,RUB,-2188,53863.67999999989
2008-09-17,RUB,-4100.8,49762.87999999989
2008-09-18,RUB,6701,56463.87999999989
2008-09-20,RUB,-1620,54843.87999999989
2008-09-21,RUB,-1529,53314.87999999989
2008-09-22,RUB,-2170,51144.87999999989
2008-09-23,RUB,-1936,49208.87999999989
2008-09-24,RUB,71703,120911.87999999989
2008-09-25,RUB,-1079,119832.87999999989
2008-09-26,RUB,-2305,117527.87999999989
2008-09-27,RUB,-8455,109072.87999999989
2008-09-28,RUB,-7300,101772.87999999989
2008-09-29,RUB,-4110,97662.87999999989
2008-09-30,RUB,2340,100002.87999999989
2008-10-01,RUB,-500,99502.87999999989
2008-10-02,RUB,-1340,98162.87999999989
2008-10-03,RUB,29330,127492.87999999989
2008-10-04,RUB,-2066,125426.87999999989
2008-10-05,RUB,-1522,123904.87999999989
2008-10-06,RUB,-1793,122111.87999999989
2008-10-07,RUB,19785.15,141897.02999999988
2008-10-08,RUB,-3944,137953.02999999988
2008-10-09,RUB,-200,137753.02999999988
2008-10-10,RUB,-695,137058.02999999988
2008-10-11,USD,0.01,96.55000000000014
2008-10-11,RUB,-2190,134868.02999999988
2008-10-12,RUB,-4172,130696.02999999988
2008-10-13,USD,909.09,1005.6400000000002
2008-10-13,RUB,-24683,106013.02999999988
2008-10-14,RUB,-260,105753.02999999988
2008-10-15,USD,-454.32,551.3200000000002
2008-10-15,RUB,-470,105283.02999999988
2008-10-16,RUB,-1060,104223.02999999988
2008-10-17,RUB,-500,103723.02999999988
2008-10-18,RUB,-2765,100958.02999999988
2008-10-19,RUB,-605,100353.02999999988
2008-10-20,RUB,-430,99923.02999999988
2008-10-21,RUB,-340,99583.02999999988
2008-10-22,RUB,-5340,94243.02999999988
2008-10-23,RUB,-641.19,93601.83999999988
2008-10-24,RUB,-3039,90562.83999999988
2008-10-25,RUB,-949,89613.83999999988
2008-10-26,RUB,-1693.48,87920.35999999988
2008-10-27,RUB,-1441,86479.35999999988
2008-10-28,RUB,-3674.52,82804.83999999988
2008-10-29,RUB,-300,82504.83999999988
2008-10-30,RUB,-1747,80757.83999999988
2008-10-31,RUB,-900,79857.83999999988
2008-11-01,RUB,-3321,76536.83999999988
2008-11-02,RUB,-1285,75251.83999999988
2008-11-03,RUB,-1017,74234.83999999988
2008-11-04,RUB,-8722,65512.83999999988
2008-11-05,RUB,-3633,61879.83999999988
2008-11-06,EUR,7.22,1167.22
2008-11-06,RUB,20725,82604.83999999988
2008-11-07,RUB,-4095.03,78509.80999999988
2008-11-08,RUB,-944,77565.80999999988
2008-11-09,RUB,-1703.06,75862.74999999988
2008-11-10,RUB,-447,75415.74999999988
2008-11-12,RUB,-1658.49,73757.25999999988
2008-11-13,RUB,-519,73238.25999999988
2008-11-14,RUB,-5881,67357.25999999988
2008-11-15,USD,-454.32,97.00000000000017
2008-11-15,RUB,-7623,59734.25999999988
2008-11-16,RUB,-3001,56733.25999999988
2008-11-17,RUB,24240.83,80974.08999999988
2008-11-18,RUB,-4175,76799.08999999988
2008-11-19,RUB,-800,75999.08999999988
2008-11-20,RUB,-5855,70144.08999999988
2008-11-21,RUB,3744.63,73888.71999999988
2008-11-22,RUB,-1630,72258.71999999988
2008-11-23,RUB,-949,71309.71999999988
2008-11-24,RUB,-10144.38,61165.33999999989
2008-11-25,RUB,-2740,58425.33999999989
2008-11-26,RUB,-2675.66,55749.67999999989
2008-11-27,RUB,-658.22,55091.45999999989
2008-11-28,RUB,-17698.62,37392.839999999895
2008-11-29,RUB,-1780,35612.839999999895
2008-11-30,RUB,-3118,32494.839999999895
2008-12-01,RUB,-110,32384.839999999895
2008-12-02,RUB,5858,38242.839999999895
2008-12-04,RUB,-540,37702.839999999895
2008-12-05,RUB,-5811.94,31890.899999999896
2008-12-06,EUR,7.03,1174.25
2008-12-06,RUB,-340,31550.899999999896
2008-12-07,RUB,-1196,30354.899999999896
2008-12-08,RUB,-368,29986.899999999896
2008-12-10,RUB,-312,29674.899999999896
2008-12-11,RUB,-3023.36,26651.539999999895
2008-12-12,RUB,-142,26509.539999999895
2008-12-13,RUB,-710,25799.539999999895
2008-12-14,RUB,-1160,24639.539999999895
2008-12-15,USD,6.67,103.67000000000017
2008-12-15,RUB,23035,47674.53999999989
2008-12-17,RUB,-2140,45534.53999999989
2008-12-19,RUB,23729,69263.53999999989
2008-12-20,RUB,-4272,64991.53999999989
2008-12-21,RUB,-6937,58054.53999999989
2008-12-22,RUB,-825,57229.53999999989
2008-12-23,RUB,-3860,53369.53999999989
2008-12-24,RUB,-7491,45878.53999999989
2008-12-25,RUB,40582.79,86461.3299999999
2008-12-26,EUR,477,1651.25
2008-12-26,RUB,-29673,56788.3299999999
2008-12-27,USD,915.25,1018.9200000000002
2008-12-27,RUB,-30480.15,26308.1799999999
2008-12-28,RUB,-5476,20832.1799999999
2008-12-29,RUB,-1424.94,19407.2399999999
2008-12-30,RUB,-2603,16804.2399999999
2009-01-02,RUB,13921,30725.2399999999
2009-01-04,RUB,-3680,27045.2399999999
2009-01-05,RUB,-1769,25276.2399999999
2009-01-06,EUR,8.46,1659.71
2009-01-06,RUB,-1684,23592.2399999999
2009-01-07,RUB,-2341,21251.2399999999
2009-01-08,RUB,-3710,17541.2399999999
2009-01-09,RUB,-2058,15483.2399999999
2009-01-10,RUB,-2280,13203.2399999999
2009-01-11,RUB,-900,12303.2399999999
2009-01-12,RUB,-180,12123.2399999999
2009-01-13,RUB,-250,11873.2399999999
2009-01-15,USD,-454.32,564.6000000000001
2009-01-15,RUB,48165,60038.2399999999
2009-01-16,RUB,-1187,58851.2399999999
2009-01-17,RUB,-835,58016.2399999999
2009-01-18,RUB,-27867,30149.239999999903
2009-01-19,RUB,-180,29969.239999999903
2009-01-20,RUB,-1030,28939.239999999903
2009-01-21,RUB,-480,28459.239999999903
2009-01-22,RUB,-2933,25526.239999999903
2009-01-24,RUB,-2280,23246.239999999903
2009-01-25,RUB,-6901,16345.239999999903
2009-01-26,RUB,-200,16145.239999999903
2009-01-27,RUB,-200,15945.239999999903
2009-01-28,RUB,-570,15375.239999999903
2009-01-29,USD,428,992.6000000000001
2009-01-29,RUB,-5276.85,10098.389999999903
2009-01-30,RUB,-805,9293.389999999903
2009-01-31,RUB,41821,51114.389999999905
2009-02-02,RUB,-570,50544.389999999905
2009-02-03,RUB,9905,60449.389999999905
2009-02-04,RUB,-130,60319.389999999905
2009-02-05,RUB,-1830,58489.389999999905
2009-02-06,USD,1220,2212.6000000000004
2009-02-06,RUB,-45461,13028.389999999905
2009-02-08,RUB,-5376,7652.389999999905
2009-02-09,RUB,-740,6912.389999999905
2009-02-10,RUB,-1750,5162.389999999905
2009-02-11,RUB,-1057.32,4105.069999999905
2009-02-12,RUB,-187.15,3917.919999999905
2009-02-13,RUB,37540,41457.919999999904
2009-02-14,RUB,-5336,36121.919999999904
2009-02-15,USD,-457.83,1754.7700000000004
2009-02-16,RUB,7735,43856.919999999904
2009-02-17,RUB,-160,43696.919999999904
2009-02-18,RUB,-6204,37492.919999999904
2009-02-19,RUB,-738,36754.919999999904
2009-02-20,RUB,-845,35909.919999999904
2009-02-21,RUB,-13816,22093.919999999904
2009-02-22,RUB,-272,21821.919999999904
2009-02-23,RUB,-5250,16571.919999999904
2009-02-24,RUB,-304,16267.919999999904
2009-02-25,RUB,-6031.39,10236.529999999904
2009-02-26,RUB,-160,10076.529999999904
2009-02-27,RUB,43540,53616.529999999904
2009-02-28,RUB,-6603,47013.529999999904
2009-03-01,RUB,-2805.9,44207.6299999999
2009-03-02,RUB,9850,54057.6299999999
2009-03-03,RUB,-3262.28,50795.349999999904
2009-03-04,RUB,-2260,48535.349999999904
2009-03-05,RUB,-280,48255.349999999904
2009-03-06,USD,4.35,1759.1200000000003
2009-03-06,EUR,19.78,1679.49
2009-03-06,RUB,-2770,45485.349999999904
2009-03-07,RUB,-90,45395.349999999904
2009-03-08,RUB,-1927,43468.349999999904
2009-03-09,RUB,-6107,37361.349999999904
2009-03-10,RUB,-180,37181.349999999904
2009-03-11,RUB,-180,37001.349999999904
2009-03-12,RUB,-850,36151.349999999904
2009-03-13,RUB,-1506,34645.349999999904
2009-03-14,RUB,-580,34065.349999999904
2009-03-15,RUB,-700,33365.349999999904
2009-03-16,RUB,-235,33130.349999999904
2009-03-17,RUB,5377,38507.349999999904
2009-03-18,RUB,-5245,33262.349999999904
2009-03-19,RUB,-2319.83,30942.519999999902
2009-03-20,RUB,-660,30282.519999999902
2009-03-21,USD,158.59,1917.7100000000003
2009-03-21,RUB,26751,57033.5199999999
2009-03-22,RUB,-11035.86,45997.6599999999
2009-03-23,USD,-205.08,1712.6300000000003
2009-03-23,RUB,-620,45377.6599999999
2009-03-24,RUB,-533,44844.6599999999
2009-03-25,RUB,8930,53774.6599999999
2009-03-26,RUB,-1769,52005.6599999999
2009-03-27,RUB,-1699,50306.6599999999
2009-03-28,USD,39.74,1752.3700000000003
2009-03-28,RUB,-42063.63,8243.029999999904
2009-03-29,RUB,-1825,6418.029999999904
2009-03-30,RUB,-295,6123.029999999904
2009-03-31,RUB,-570,5553.029999999904
2009-04-01,RUB,53765,59318.029999999904
2009-04-02,USD,292,2044.3700000000003
2009-04-02,EUR,300,1979.49
2009-04-02,RUB,-24583.64,34734.389999999905
2009-04-03,RUB,-3750.62,30983.769999999906
2009-04-04,RUB,-4452,26531.769999999906
2009-04-05,RUB,-1600,24931.769999999906
2009-04-06,RUB,-741.38,24190.389999999905
2009-04-07,EUR,10.48,1989.97
2009-04-07,RUB,-130,24060.389999999905
2009-04-08,RUB,-4975,19085.389999999905
2009-04-09,RUB,-1412.21,17673.179999999906
2009-04-10,RUB,-310,17363.179999999906
2009-04-11,RUB,-3840,13523.179999999906
2009-04-12,RUB,-879,12644.179999999906
2009-04-13,RUB,-130,12514.179999999906
2009-04-14,RUB,-470,12044.179999999906
2009-04-15,RUB,-150,11894.179999999906
2009-04-16,RUB,44345,56239.179999999906
2009-04-17,RUB,-3310.3,52928.8799999999
